step,src0,src1,src2,src3,src4
0,4,3,3,3,2
1,5,3,3,3,2
2,5,3,3,3,2
3,5,3,3,3,3
4,6,3,3,3,3
5,6,3,3,3,3
6,6,4,3,3,3
7,6,4,3,3,3
8,6,4,4,3,3
9,6,4,4,4,3
10,6,4,4,4,3
11,6,4,4,4,4
12,6,4,4,4,4
13,7,4,4,4,4
14,7,4,4,4,4
15,8,4,4,4,4
16,8,4,4,4,4
17,8,5,4,4,4
18,8,5,4,4,4
19,8,5,5,4,4
20,8,5,5,4,4
21,8,5,5,5,4
22,8,5,5,5,4
23,8,5,5,5,4
24,8,5,5,5,5
25,8,5,5,5,5
26,8,5,5,5,5
27,9,5,5,5,5
28,9,5,5,5,5
29,9,5,5,5,5
30,9,5,5,5,5
31,9,5,5,5,5
32,9,6,5,5,5
33,9,6,5,5,5
34,9,6,5,5,5
35,9,6,5,5,5
36,9,6,5,5,5
37,9,6,5,5,5
38,9,6,5,5,5
39,9,6,5,5,5
40,9,6,5,5,5
41,9,6,5,5,5
42,9,6,5,5,5
43,9,6,5,5,5
44,9,5,5,5,5
45,9,5,5,5,5
46,9,5,5,5,5
47,9,5,5,5,5
48,9,5,5,5,5
49,8,5,5,5,5
50,8,5,5,5,5
51,8,5,5,5,5
52,8,5,5,5,4
53,8,5,5,5,4
54,8,5,5,5,4
55,8,5,5,4,4
56,8,5,5,4,4
57,8,5,4,4,4
58,8,5,4,4,4
59,8,4,4,4,4
60,8,4,4,4,4
61,7,4,4,4,4
62,7,4,4,4,4
63,6,4,4,4,4
64,6,4,4,4,4
65,6,4,4,4,3
66,6,4,4,4,3
67,6,4,4,3,3
68,6,4,3,3,3
69,6,4,3,3,3
70,6,3,3,3,3
71,6,3,3,3,3
72,5,3,3,3,3
73,5,3,3,3,2
74,5,3,3,3,2
75,4,3,3,3,2
76,4,3,3,2,2
77,4,3,3,2,2
78,4,3,2,2,2
79,4,2,2,2,2
80,4,2,2,2,2
81,3,2,2,2,2
82,3,2,2,2,2
83,3,2,2,2,1
84,3,2,2,1,1
85,3,2,2,1,1
86,3,2,1,1,1
87,3,2,1,1,1
88,2,2,1,1,1
89,2,2,1,1,1
90,2,1,1,1,1
91,2,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,1,0
95,1,1,1,1,0
96,1,1,1,0,0
97,1,1,1,0,0
98,1,1,1,0,0
99,1,1,0,0,0
100,1,1,0,0,0
101,1,1,0,0,0
102,1,0,0,0,0
103,1,0,0,0,0
104,1,0,0,0,0
105,1,0,0,0,0
106,1,0,0,0,0
119,1,0,0,0,0
120,1,0,0,0,0
121,1,0,0,0,0
122,1,0,0,0,0
123,1,0,0,0,0
124,1,1,0,0,0
125,1,1,0,0,0
126,1,1,0,0,0
127,1,1,1,0,0
128,1,1,1,0,0
129,1,1,1,0,0
130,1,1,1,1,0
131,1,1,1,1,0
132,1,1,1,1,1
133,1,1,1,1,1
134,2,1,1,1,1
135,2,1,1,1,1
136,2,2,1,1,1
137,2,2,1,1,1
138,3,2,1,1,1
139,3,2,1,1,1
140,3,2,2,1,1
141,3,2,2,1,1
142,3,2,2,2,1
143,3,2,2,2,2
144,3,2,2,2,2
145,4,2,2,2,2
146,4,2,2,2,2
147,4,3,2,2,2
148,4,3,3,2,2
149,4,3,3,2,2
