step,visits,eligible,absorptions
0,925,0,0
1,876,0,0
2,843,97,97
3,815,92,92
4,797,88,88
5,787,87,87
6,776,86,86
7,774,84,84
8,776,85,85
9,774,82,82
10,772,80,80
11,771,0,0
12,773,0,0
13,772,0,0
14,775,0,0
15,773,0,0
16,780,0,0
17,788,0,0
18,791,0,0
19,800,0,0
20,802,0,0
21,806,0,0
22,808,0,0
23,814,0,0
24,819,0,0
25,826,0,0
26,828,59,59
27,836,56,56
28,843,55,55
29,842,53,53
30,854,0,0
31,864,55,55
32,869,55,55
33,882,53,53
34,885,51,51
35,898,0,0
36,910,0,0
37,905,0,0
38,917,0,0
39,931,0,0
40,947,0,0
41,956,0,0
42,958,0,0
43,968,0,0
44,976,0,0
45,986,0,0
46,988,0,0
47,996,0,0
48,1002,0,0
49,1010,0,0
50,1005,45,45
51,1016,45,45
52,1024,43,43
53,1031,43,43
54,1034,40,40
55,1043,40,40
56,1056,42,42
57,1060,42,42
58,1069,45,45
59,1081,0,0
60,1092,0,0
61,1091,0,0
62,1097,0,0
63,1103,0,0
64,1108,0,0
65,1111,0,0
66,1112,0,0
67,1117,0,0
68,1113,0,0
69,1107,0,0
70,1103,0,0
71,1101,0,0
72,1100,0,0
73,1099,0,0
74,1098,37,37
75,1102,38,38
76,1104,37,37
77,1105,39,39
78,1110,38,38
79,1109,38,38
80,1109,38,38
81,1112,38,38
82,1103,37,37
83,1095,0,0
84,1093,0,0
85,1093,0,0
86,1092,0,0
87,1089,0,0
88,1087,0,0
89,1080,0,0
90,1074,0,0
91,1067,0,0
92,1067,0,0
93,1060,0,0
94,1058,0,0
95,1047,0,0
96,1040,0,0
97,1035,0,0
98,1033,35,35
99,1028,36,36
100,1025,36,36
101,1019,36,36
102,1017,36,36
103,1015,36,36
104,1010,37,37
105,998,36,36
106,985,35,35
107,980,0,0
108,967,0,0
109,961,0,0
110,954,0,0
111,947,0,0
112,939,0,0
113,935,0,0
114,928,0,0
115,922,0,0
116,915,0,0
117,907,0,0
118,901,0,0
119,897,0,0
120,890,0,0
121,886,0,0
122,878,34,34
123,873,33,33
124,868,32,32
125,867,32,32
126,862,31,31
127,857,30,30
128,859,29,29
129,855,30,30
130,856,31,31
131,854,0,0
132,855,0,0
133,857,0,0
134,857,0,0
135,859,0,0
136,858,0,0
137,863,0,0
138,864,0,0
139,867,0,0
140,870,0,0
141,874,0,0
142,877,0,0
143,882,0,0
144,885,0,0
145,889,0,0
146,890,26,26
147,898,25,25
148,897,25,25
149,904,25,25
