x_bin,y_bin,amount
0,3,14.35357784412355
0,4,29.50347762807678
0,0,16.18670235599457
0,1,19.534471556645652
0,2,56.04683877031537
1,2,76.28983800493464
1,8,67.1564669423029
1,7,45.07448760813547
1,9,82.45686192315414
1,4,35.27278298372423
1,5,178.89351832891165
1,3,84.49581833068228
1,6,193.484050086696
2,3,87.93493616620094
2,4,53.5751913217991
2,5,68.41213752838487
2,6,63.70558847597957
2,9,60.606798061502005
2,2,321.6859821852405
2,0,97.5894349669817
2,1,165.8115755358469
3,0,18.348119539552894
3,1,28.990695138680124
3,2,63.62951753581991
3,9,178.46136667184822
3,6,171.82135060186977
4,0,131.18724746231536
4,2,107.14043289622487
4,7,217.6439898598799
4,1,74.66878965918707
5,1,26.832380991289785
5,2,78.94945476167794
5,6,177.4289242916907
5,9,461.55953140632437
5,3,24.84423283613533
6,2,71.2232544133011
6,6,41.67963307747698
6,7,226.85365686996704
6,8,227.61105367597295
6,3,412.82937996919566
6,5,187.08196224866356
7,2,153.04657146434275
7,3,71.78052534277971
7,5,111.94162827664415
7,7,151.81258374561833
7,8,88.85808474665146
7,0,145.73974233003685
7,1,47.95185770589618
8,0,71.10836527093373
8,1,120.13264102438369
8,5,121.59310388113057
8,2,15.172761334444576
8,4,87.88391166286151
8,8,247.35366895237635
9,2,155.15596687988963
9,8,230.62811158360796
9,1,344.7839529158457
9,3,199.57595695082819
9,6,397.6200219376941
9,7,122.79715157305431
9,9,161.09533980865385
