Step,Absorbed_Step,Absorbed_Cumulative
0,173.1187852915538,173.1187852915538
1,54.93943396725288,228.05821925880667
2,47.92053980842121,275.9787590672279
3,58.4594379289087,334.4381969961366
4,33.43395730886624,367.8721543050028
5,52.194241764868025,420.06639606987085
6,41.299066809356646,461.3654628792275
7,46.2869331167218,507.6523959959493
8,74.7738036087419,582.4261996046912
9,45.964835812957745,628.3910354176489
10,35.472711072635434,663.8637464902844
11,65.24620929659682,729.1099557868812
12,48.67943528385945,777.7893910707406
13,16.0,793.7893910707406
14,79.57385690710078,873.3632479778414
15,62.68371523150563,936.046963209347
16,91.53600053107448,1027.5829637404215
17,13.0,1040.5829637404215
18,101.97496985597809,1142.5579335963996
19,90.67726602081348,1233.235199617213
20,21.0,1254.235199617213
21,75.73169712762729,1329.9668967448404
22,18.0,1347.9668967448404
23,33.0,1380.9668967448404
24,176.68374585450852,1557.6506425993489
25,28.0,1585.6506425993489
26,118.51969928059884,1704.1703418799477
27,56.25508868530528,1760.425430565253
28,17.0,1777.425430565253
29,31.0,1808.425430565253
30,41.420250427738665,1849.8456809929917
31,39.0,1888.8456809929917
32,116.35384684212704,2005.1995278351187
33,54.0,2059.1995278351187
34,49.0,2108.1995278351187
35,56.0,2164.1995278351187
36,27.0,2191.1995278351187
37,45.0,2236.1995278351187
38,92.54919437781246,2328.748722212931
39,131.21475132037222,2459.9634735333034
40,21.0,2480.9634735333034
41,34.0,2514.9634735333034
42,58.0,2572.9634735333034
43,66.0,2638.9634735333034
44,20.0,2658.9634735333034
45,251.795555633013,2910.7590291663164
46,210.72693266674514,3121.4859618330615
47,156.12992199284736,3277.615883825909
48,31.0,3308.615883825909
49,30.0,3338.615883825909
50,18.0,3356.615883825909
51,102.00665628312572,3458.6225401090346
52,31.0,3489.6225401090346
53,79.0,3568.6225401090346
54,23.0,3591.6225401090346
55,29.0,3620.6225401090346
56,24.0,3644.6225401090346
57,40.0,3684.6225401090346
58,23.0,3707.6225401090346
59,31.0,3738.6225401090346
60,34.0,3772.6225401090346
61,23.0,3795.6225401090346
62,23.0,3818.6225401090346
63,37.0,3855.6225401090346
64,27.0,3882.6225401090346
65,38.0,3920.6225401090346
66,99.0,4019.6225401090346
67,158.15708925962235,4177.779629368657
68,39.0,4216.779629368657
69,24.0,4240.779629368657
70,57.0,4297.779629368657
71,35.0,4332.779629368657
72,144.0,4476.779629368657
73,16.0,4492.779629368657
74,149.0,4641.779629368657
75,51.0,4692.779629368657
76,39.0,4731.779629368657
77,17.0,4748.779629368657
78,38.0,4786.779629368657
79,80.0,4866.779629368657
80,35.0,4901.779629368657
81,30.0,4931.779629368657
82,669.3536621922403,5601.133291560897
83,30.0,5631.133291560897
84,37.0,5668.133291560897
85,48.0,5716.133291560897
86,13.0,5729.133291560897
87,26.0,5755.133291560897
88,35.0,5790.133291560897
89,29.0,5819.133291560897
90,26.0,5845.133291560897
91,34.0,5879.133291560897
92,112.0,5991.133291560897
93,257.69777424718814,6248.831065808085
94,39.0,6287.831065808085
95,19.0,6306.831065808085
96,25.0,6331.831065808085
97,67.0,6398.831065808085
98,39.0,6437.831065808085
99,23.0,6460.831065808085
